name;city;start_date;end_date;Latitude;Longtitude;link
Generative Approaches to Second Language Acquisition 15;Reno, NV;Mar 22, 2019;Mar 24, 2019;-83.7069720283684;-82.62678090513454;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339656
Georgetown University Roundtable on Languages and Linguistics 2019;Washington, D.C.;Mar 29, 2019;Mar 31, 2019;-71.1361874396079;98.01617155923489;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356096
Hradec Králové Anglophone Conference 2019;Hradec Králové;Mar 28, 2019;Mar 29, 2019;34.5348999794276;-11.21440843710502;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348276
International Conference on Current Trends in Linguistics;Rouen;Mar 28, 2019;Mar 29, 2019;-70.5548108473896;72.27473447744127;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327437
International Conference on Education Quality 2019;Agadir;Mar 13, 2019;Mar 15, 2019;57.73571084054107;-91.12572986370083;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339736
International Conference on Multilingualism and Multilingual Education;Bielefeld;Mar 21, 2019;Mar 23, 2019;74.11158613615152;63.83294218818864;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343216
International Symposium on Linguistics, Cognition, and Culture;Belo Horizonte - MG;Mar 13, 2019;Mar 15, 2019;45.06967419763748;-117.2668275448998;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339036
International Workshop on Degrees and Grammar: An East Asian Perspective;Nanjing, Jiangsu;Mar 16, 2019;Mar 17, 2019;37.42276876991732;-144.7413108202539;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340757
IV International Conference of Applied Linguistics in English and Spanish;Perez Zeledon, San Jose;Mar 27, 2019;Mar 29, 2019;3.1591594992243057;140.92607272150437;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334256
Jornadas de Formación de Profesores de Español en Hong Kong;Hong Kong;Mar 08, 2019;Mar 09, 2019;55.754134255138055;93.4922681612425;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354836
Language Change in English and Beyond: Linguistic Theory and Historical Corpora;Athens;Mar 14, 2019;Mar 15, 2019;-45.227731463082016;79.84550754412389;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346496
Language Change in English and Beyond: Linguistic Theory and Historical Corpora;Athens;Mar 14, 2019;Mar 15, 2019;-68.67726825244694;6.204398065462365;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346596
L’art des échanges culturels dans les littératures et les cultures de langue française;Victoria, BC;Mar 08, 2019;Mar 09, 2019;-80.14062219517207;-68.25803591244305;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354956
Le Français en Jeu;Amsterdam;Mar 22, 2019;Mar 23, 2019;83.36645771637158;-50.32062849298699;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=310616
Linguistic Investigations Beyond Language: Gestures, Body Movement and Primate Linguistics;Berlin;Mar 11, 2019;Mar 12, 2019;-73.01551689847085;-23.35021443791294;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346936
Linguistics and Asian Languages;Poznań;Mar 15, 2019;Mar 16, 2019;-47.88100426116235;-111.65349968594302;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347156
Local and Global: ‘Spanish(es),’ Identity and Space in US Cities;Washington, DC;Mar 21, 2019;Mar 24, 2019;29.578924094008947;42.724002583876334;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333956
Master Class with Artemis Alexiadou;Thessaloniki;Mar 19, 2019;Mar 19, 2019;16.498115712570126;-51.106274015718306;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354496
New Methods and Trends in (Basque) Linguistics;Pamplona (Navarre);Mar 06, 2019;Mar 07, 2019;20.393160100345252;166.72825447624214;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342616
Norddeutsches Linguistisches Kolloquium;Osnabrueck;Mar 28, 2019;Mar 29, 2019;-74.65158955600799;-0.8802566285736495;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355996
Nordic Research on Accent, Acceptability and Acquisition;Kiel;Mar 21, 2019;Mar 22, 2019;-15.439714242915027;111.43280351514187;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346377
Nouns - between syntax and semantics;Paris;Mar 29, 2019;Mar 30, 2019;76.52345132634633;77.87164352866318;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352476
Philological Society Early Career Researcher Forum;Oxford;Mar 08, 2019;Mar 09, 2019;-64.48053032759427;107.96215135828625;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342196
Phonological Theory Agora;Nice;Mar 15, 2019;Mar 16, 2019;-80.46378655482755;80.10670980474453;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352896
Phraseology and Stylistics of Literary Language;Erlangen;Mar 13, 2019;Mar 15, 2019;-66.37200879465314;2.442984164525809;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333336
Purdue Linguistics, Literature, and Second Language Studies Conference;West Lafayette, IN;Mar 01, 2019;Mar 03, 2019;51.192072024370894;127.420422279153;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349936
Second Colloquium on Language Contact in Education: Multilingual Competences and Practices;Rabat;Mar 13, 2019;Mar 14, 2019;19.22507011666748;176.97239189733224;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347476
"Tabu: 6th Annual Graduate Conference of the Department of Spanish &amp; Portuguese - University of Minnesota";Minneapolis, MN;Mar 29, 2019;Mar 30, 2019;-82.88969961407173;23.68602135737122;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354576
The Creative Power of Metaphor;Oxford;Mar 29, 2019;Mar 30, 2019;87.25596208919987;-158.42836704264053;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336697
The Evolution of Language: Bridging the Natural and Cognitive Sciences;Zurich;Mar 04, 2019;Mar 05, 2019;12.129994985195465;-86.06321429202224;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351776
The Meaning of Numerals: Cognitive, Experimental, and Semantic Perspectives;ZAS, Berlin;Mar 27, 2019;Mar 28, 2019;-60.17025034535113;-141.23383519880684;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349236
Third Symposium on Amazonian Languages;Berkeley, CA;Mar 16, 2019;Mar 17, 2019;81.5376124315961;142.17049208953176;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356456
Translation and Identity - 10th Annual Graduate Student Conference in Translation Studies;Toronto, Ontario;Mar 02, 2019;Mar 02, 2019;55.88493425967706;129.75237753152575;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351456
Translation and Language: Comparative Studies;Kyiv;Mar 27, 2019;Mar 28, 2019;-58.14225940075808;153.4571155288608;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352296
VIII Annual Undergraduate Conference on Latin American and Iberian Studies;Cleveland, Tennessee;Mar 23, 2019;Mar 23, 2019;-27.924605459502313;127.29793693301569;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351996
Western Interdisciplinary Student Symposium on Language Research;London, Ontario;Mar 15, 2019;Mar 15, 2019;-60.344186089614155;61.81927527185533;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351576
Whither Reanalysis;Berlin;Mar 01, 2019;Mar 02, 2019;-17.555246341686832;-137.37088852462676;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336896
Workshop on Linguistic Minorities in Asia;Hong Kong;Mar 22, 2019;Mar 23, 2019;5.5697869535887286;39.113552693719924;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=337396
Workshop: “Twin Talks: Understanding Collaboration in DH”;Copenhagen;Mar 05, 2019;Mar 05, 2019;-79.77613058828172;-76.24543565495931;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355677
XXII. Deutscher Hispanistentag „Constellations, networks and transformations“;Berlin;Mar 27, 2019;Mar 31, 2019;46.2304719548805;57.11463279464344;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=320076
11th Annual Meeting of the Illinois Language and Linguistics Society;Urbana-Champaign, Illinois;Apr 26, 2019;Apr 28, 2019;43.353091942154784;-91.80342688643704;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341516
11th International Conference on Professional Communication and Translation Studies;Timisoara;Apr 04, 2019;Apr 05, 2019;-72.08768095482107;154.8242058436651;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349556
27th Spanish in the US and 12th Spanish in Contact with Other Languages;Cleveland;Apr 04, 2019;Apr 06, 2019;12.402976331846311;-70.81016889217328;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341396
2nd International Conference on Literature, Linguistics, and Translation;Tafila;Apr 02, 2019;Apr 04, 2019;-72.07905001801461;-116.25607799714298;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349436
2nd North American Conference in Iranian Linguistics;Tucson, Arizona;Apr 19, 2019;Apr 21, 2019;1.3609262363329968;-75.41440177847767;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333196
2nd Symposium on Linguistic Attitudes toward Spanish, Portuguese and Related Languages;Amherst, Massachusetts;Apr 12, 2019;Apr 13, 2019;-19.512104745562738;123.07300782588621;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329796
33rd Annual Symposium on Arabic Linguistics;Toronto;Apr 05, 2019;Apr 07, 2019;-70.55394631526966;-17.380736611795374;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333456
3rd International ESP Conference;Liverpool;Apr 26, 2019;Apr 27, 2019;-67.13549290119657;77.75031562982558;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338176
3rd Swedish Translanguaging Conference;VÄXJÖ;Apr 11, 2019;Apr 12, 2019;71.674514201117;100.23078040514332;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340256
3rd Workshop on Formal Approaches to Russian Linguistics;Moscow;Apr 05, 2019;Apr 06, 2019;4.14477735717134;-84.52590032426045;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356496
4th Annual Center for Languages and Intercultural Communication Conference;Houston, Texas;Apr 12, 2019;Apr 14, 2019;-43.180266666270974;123.06917404920021;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343436
7th International Graduate Student Conference on Diverse Approaches to Linguistics;Jerusalem;Apr 08, 2019;Apr 08, 2019;-13.123308932712407;103.67874988325718;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335376
7th Novi Sad Workshop in Psycholinguistic, Neurolinguistic and Clinical Linguistic Research;Novi Sad;Apr 20, 2019;Apr 20, 2019;43.285681205232585;82.33946719880957;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354217
9th International Conference of the Undergraduate Linguistics Association of Britain;London;Apr 11, 2019;Apr 13, 2019;-86.94940993666731;-146.3564490995298;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355736
Asymmetries of Knowledge;FU Berlin;Apr 15, 2019;Apr 16, 2019;-21.68302622113351;141.92127986547905;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352516
BALEAP 2019 Biennial Conference;Leeds;Apr 12, 2019;Apr 14, 2019;89.96843530812586;132.8934265948033;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334016
COACT Conference 2019: Interaction and discourse in flux: Changing landscapes of everyday life;Oulu;Apr 24, 2019;Apr 26, 2019;-46.629444289213986;-16.788776823644948;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324376
"Contacts &amp; Contrasts 2019: Cultural Conceptualizations in Language, Literature, and Translation";Konin;Apr 01, 2019;Apr 03, 2019;21.064700589480786;13.137676791065214;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344416
Culture and Cognition in Language 2;Rzeszow;Apr 25, 2019;Apr 26, 2019;-38.458950728931605;-170.16271303685488;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346396
Doing Experiments with Theoretical Linguistics;Amsterdam;Apr 09, 2019;Apr 09, 2019;-13.29355135892483;103.67399601151425;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351516
El plano fónico del español. Sección monográfica de las VIII Jornadas Internacionales de Lingüística Hispánica;Lisboa;Apr 01, 2019;Apr 03, 2019;-44.60087736057576;119.87054550742579;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355796
EMI Practices in Europe;Copenhagen;Apr 04, 2019;Apr 05, 2019;-8.727561062622398;60.16892612255527;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329056
English Historical Lexicography in the Digital Age: Focus on Social and Geographical Variation;Bergamo;Apr 11, 2019;Apr 13, 2019;55.082485762676946;73.3505627904243;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336456
Eurolinguistics Conference: Linguistic Aspects of the Past, Present and Future of Europe;Donauwörth;Apr 05, 2019;Apr 07, 2019;2.589069917835307;-96.07645014473408;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338216
General and Specialist Translation/ Interpretation: Theory, Methods, Practice;Kyiv;Apr 05, 2019;Apr 05, 2019;-82.0480184540822;111.28547211632626;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350456
Heterotopic Junction Conference;Hong Kong;Apr 13, 2019;Apr 13, 2019;40.031332754660845;154.69140920746992;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353016
Historical Corpora and Variation;Cagliari;Apr 04, 2019;Apr 05, 2019;-29.299084823641355;48.31349381165987;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345776
Humor Research Project Conference;Sosnowiec;Apr 04, 2019;Apr 05, 2019;85.28949157893817;8.861637118006298;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356076
II Experimental Portuguese Linguistics Workshop;Toronto, Ontario;Apr 26, 2019;Apr 27, 2019;77.02783382797782;-75.1219745010254;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346536
iMean6 Interaction and Meaning;Wellington;Apr 15, 2019;Apr 17, 2019;-87.41610039423523;-107.40452802042194;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334956
International Conference of Department of English Language and Literature;Lahore/Punjab;Apr 06, 2019;Apr 07, 2019;19.64496426319532;-154.1692950235799;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354336
International Language Teacher Education Conference;Antalya;Apr 08, 2019;Apr 10, 2019;29.15173445325874;-58.35490531774742;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352216
International Workshop on the L1 and L2 Acquisition of Information Structure;Leuven;Apr 25, 2019;Apr 26, 2019;49.78773144978451;132.53741494786976;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355076
Language and Culture in the Era of Scientific Knowledge and Professional Education Integration;Pyatigorsk/Stavropol Region;Apr 11, 2019;Apr 12, 2019;57.730882812381;91.86479437829384;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355436
"Language Education &amp; Acquisition Research Conference 2019 Focusing Early Language Acquisition";Eichstätt;Apr 11, 2019;Apr 13, 2019;-87.46839280365674;-142.64255454360205;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341296
Language, Literature, Context 2019;Niš;Apr 12, 2019;Apr 13, 2019;-24.01354713146745;-125.68645089292191;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347976
La syntaxe des adverbes du français : Aspects catégoriel et fonctionnel;Olomouc;Apr 18, 2019;Apr 19, 2019;21.014487075767683;-167.15444839962052;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352916
Linguistic Forum 2019: Indigenous Languages of Russia and Beyond;Moscow;Apr 04, 2019;Apr 06, 2019;-7.374782125478657;-140.44833012674334;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349316
Linguistics in the Gulf 6;Doha;Apr 01, 2019;Apr 02, 2019;49.32012955324593;175.4694836030348;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343596
Linguistics Prague 2019;Prague;Apr 25, 2019;Apr 27, 2019;86.4049629645682;-121.37299703642799;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354376
Linking Interdisciplinary Perspectives on Cultural, Professional and Scientific Capacity Building;Rīga;Apr 11, 2019;Apr 12, 2019;-85.9266120579657;164.0704366696232;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346556
Literature Today and Tomorrow;Tunis;Apr 19, 2019;Apr 20, 2019;69.30355298232688;-89.53311033406086;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345856
Lund Symposium on Cognition, Communication and Learning;Lund;Apr 24, 2019;Apr 26, 2019;34.095616864114454;-159.22986308198205;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340676
MariCorners 2019 LGTBIQ+ Communication and Spaces: I International Conference on LGTBIQ aspects and language;Madrid;Apr 10, 2019;Apr 12, 2019;65.81627339882917;171.36693913982685;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331736
Meaning and Indexicality across Subfields and Theories;Paris;Apr 12, 2019;Apr 13, 2019;3.8818241018892117;-87.66664730492892;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351976
Minnesota Undergraduate Linguistics Symposium 2019;Minneapolis, MN;Apr 13, 2019;Apr 13, 2019;-21.753100584182977;-90.21506583956666;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355636
Modern Developments in Linguistics and Language Teaching: The Problem of Method;Penza;Apr 24, 2019;Apr 26, 2019;-7.773992495671874;174.66885572413375;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352316
Multilingualism, Diversity and Democracy Conference 2019;Jönköping;Apr 08, 2019;Apr 10, 2019;-30.74261538546778;-144.11568126238026;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356836
Neuroscience of Language in Abu Dhabi;Abu Dhabi;Apr 22, 2019;Apr 23, 2019;-15.235797468736134;-126.37162782864084;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334216
Noun Categorization: From Grammar to Communicative Interaction;Lyon;Apr 18, 2019;Apr 19, 2019;8.202746471697372;57.95685535133263;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349276
"Popular Culture Association &amp; American Culture Association 2019 Joint National Conference: Language Attitudes &amp; Popular Linguistics Area";Washington, D.C.;Apr 17, 2019;Apr 20, 2019;-84.53440262436828;5.667512877410775;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340636
Princeton Phonology Forum;Princeton, NJ;Apr 05, 2019;Apr 06, 2019;69.64228930492666;134.90482105986666;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353916
Princeton Symposium on Syntactic Theory 2019;Princeton, NJ;Apr 05, 2019;Apr 06, 2019;-78.54299158369649;-45.58971678303076;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351596
Querencias II Conference on Hispanic and Portuguese Literatures, Cultural Studies, and Linguistics;Albuquerque, New Mexico;Apr 12, 2019;Apr 13, 2019;55.91721350751438;-134.88282694620827;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344356
Seniors, Foreign Caregivers, Families, Institutions: Linguistic and Multidisciplinary Perspectives;Varese;Apr 09, 2019;Apr 10, 2019;9.936601638090849;40.18719809871448;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355476
Sluicing and Ellipsis at 50;Chicago, IL;Apr 12, 2019;Apr 13, 2019;-70.75282800022642;41.82356145391249;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339636
Symposium for American Indian Languages - SAIL;Tucson, AZ;Apr 12, 2019;Apr 13, 2019;-50.55533121604155;-77.17393780344817;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356136
The North American Research Network in Historical Sociolinguistics at KFLC: The Languages, Literatures, and Cultures Conference;Lexington, Kentucky;Apr 11, 2019;Apr 13, 2019;81.76648212432887;73.40874677663005;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348396
The Scarlet Letters: Taboos of Language and Literature in the Contemporary Age;Padova;Apr 09, 2019;Apr 10, 2019;25.002831247554184;-34.060095572474005;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336756
Typology of Small-scale Multilingualism;Lyon;Apr 15, 2019;Apr 17, 2019;9.942776063466694;-172.89020717352224;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348576
UNC Linguistics Spring Colloquium 2019;Chapel Hill, NC;Apr 06, 2019;Apr 06, 2019;-70.12389629471181;-85.15812966373771;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350656
Uniting Gender Research;Tromsø;Apr 04, 2019;Apr 05, 2019;28.30176454397675;125.38506662115957;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355676
University of Hawaii at Hilo Humanities International Conference;Hilo, Hawaii;Apr 26, 2019;Apr 27, 2019;65.49263001447459;157.83735323186605;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348816
VIII International Conference on Hispanic Linguistics;Lisbon;Apr 01, 2019;Apr 03, 2019;53.21309040031051;85.89214989683002;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352056
Voyage au Québec : auto et hétéro-représentations;Genova;Apr 11, 2019;Apr 12, 2019;86.67491592496259;-179.56192696661168;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346076
Wissenschaftliche Tagung der Germanistikstudierenden;Vilnius;Apr 26, 2019;Apr 26, 2019;-5.068892922941912;175.19652677901112;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356396
Words as a Battlefield: Persuasion in Contemporary Political and Media Discourse;Maribor;Apr 05, 2019;Apr 06, 2019;61.360966942187176;106.87133998635564;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354316
Workshop on Arabic and Language Analysis in Asylum Procedures;London;Apr 09, 2019;Apr 09, 2019;-11.312159882412804;-130.85984548697337;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352297
Workshop on Complex Predicates in the Iranian Languages;Tucson, AZ;Apr 18, 2019;Apr 18, 2019;-31.284252474202606;50.20727972525517;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350676
"XIII International Conference on Foreign Languages, Communication and Culture (WEFLA) &amp; XIII International Seminar on Canadian Studies (Secan)";Holguin;Apr 24, 2019;Apr 26, 2019;-84.85398638980267;-62.805363399929824;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344836
13th International Conference on Computational Semantics;Gothenburg;May 23, 2019;May 27, 2019;34.48672073268528;52.75895594838558;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347396
14th Nilo-Saharan Linguistics Conference;Vienna;May 29, 2019;Jun 01, 2019;84.03995344135679;-152.14733402605896;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338257
16th EALTA Conference ''Transitions in Language Assessment'';Dublin;May 31, 2019;Jun 02, 2019;-8.699919443431357;53.6753216712145;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348156
17th Conference on British and American Studies;Brasov;May 10, 2019;May 11, 2019;-41.13287528651096;103.82894861614123;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352496
17th International Conference on Minority Languages;Leeuwarden, Friesland;May 22, 2019;May 24, 2019;4.16255510745778;-140.36161346749327;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334636
22nd Annual Workshop on American Indigenous Languages;Santa Barbara, California;May 10, 2019;May 11, 2019;-81.52072114495199;99.5252619548024;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351436
24th Workshop on the Structure and Constituency of the Languages of the Americas;College Park, Maryland;May 09, 2019;May 11, 2019;-59.32280944520359;-135.36709114782758;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347596
29th Colloquium on Generative Grammar;Ciudad Real;May 22, 2019;May 24, 2019;-57.22402138264868;20.703824971573496;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350736
29th Meeting of Southeast Asian Linguistics Society;Tokyo;May 27, 2019;May 29, 2019;10.490263917989227;60.05750010399132;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352876
2nd Conference on Language, Data and Knowledge;Leipzig;May 20, 2019;May 22, 2019;55.035554908494696;65.71118577445584;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339256
31st International Conference on Foreign/Second Language Acquisition;Szczyrk;May 16, 2019;May 18, 2019;-46.1510967297057;81.27297150500401;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346817
33rd International Conference of the Croatian Applied Linguistics Society: Meaning in Language - From Individual to Collective;Rijeka;May 16, 2019;May 18, 2019;42.71706029666841;-68.44617804311773;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344016
36th International Conference on English Language Teaching and Learning;Taichung;May 17, 2019;May 18, 2019;73.32903276912054;-111.12223779617733;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352116
3rd Dynamic Syntax Conference;Valletta;May 16, 2019;May 17, 2019;17.908413156802066;-39.78828537504121;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349776
49th Linguistic Symposium on Romance Languages;Athens;May 01, 2019;May 04, 2019;-53.35938636366462;-66.89956921371301;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342296
4th American International Morphology Meeting;Stony Brook, NY;May 03, 2019;May 05, 2019;26.126488006232453;111.36338442861248;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349336
4th GEN TEFL International Conference;Bali;May 18, 2019;May 19, 2019;-21.690690400595667;-12.582918581100762;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338956
50th Annual Conference on African Linguistics;Vancouver/British Columbia;May 22, 2019;May 26, 2019;-21.330499712887626;-77.95021367575308;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355816
55th Meeting of the Chicago Linguistic Society;Chicago, IL;May 16, 2019;May 18, 2019;-45.28266535186177;21.953795675848347;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330156
64th Annual Conference of the International Linguistic Association;Buenos Aires;May 30, 2019;Jun 01, 2019;-9.07885314912561;-84.00545363309598;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352336
6th International Conference of the English Department, Faculty of Philology, University of Belgrade;Belgrade;May 30, 2019;Jun 01, 2019;70.48713756759993;-133.61174907680802;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331836
6th International Conference on English Pronunciation: Issues and Practices;Skopje;May 17, 2019;May 18, 2019;64.16009336759176;-179.27922069753174;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347816
6th International Language in Focus Conference;Dubrovnik;May 02, 2019;May 04, 2019;45.07418925837077;112.71592966661194;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345016
7th Conference of The Scandinavian Association for Language and Cognition;Aarhus;May 22, 2019;May 24, 2019;-34.92232254455107;148.76371649733122;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339576
8th International Conference on Narrative and Language Studies;Trabzon;May 02, 2019;May 03, 2019;-89.21105834409086;119.41468926949894;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344036
ABRALIN50;Maceió. Alagoas;May 02, 2019;May 09, 2019;57.011853381354356;-6.982656892435986;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331316
Annual Conference of the Institute for Bulgarian Language;Sofia;May 15, 2019;May 15, 2019;53.304187622835194;-47.37317068968532;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356696
Approaches to Digital Discourse Analysis 2;Turku;May 23, 2019;May 25, 2019;56.28554732908271;-41.963934306675455;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329216
Asian Conference on Language Learning 2019;Tokyo;May 16, 2019;May 18, 2019;-43.395512100841216;142.39384498840667;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353596
